timestamp_unix,elapsed_sec,x_m,y_m,heading_deg,vo_x_m,vo_y_m,speed,steering,cds_value
1783404573.898,0.02,0.0,0.0,0.0,0.0,0.0,0,0.0,1357
1783404574.001,0.13,0.0,0.0,0.0,0.0,0.0,0,0.0,1333
1783404574.107,0.23,0.0,0.0,0.0,0.0,0.0,0,0.0,1347
1783404574.214,0.34,0.0,0.0,0.0,0.0,0.0,0,0.0,1330
1783404574.316,0.44,0.0,0.0,0.0,0.0,0.0,0,0.0,1350
1783404574.421,0.55,0.0,0.0,0.0,0.0,0.0,0,0.0,1350
1783404574.525,0.65,0.0,0.0,0.0,0.0,0.0,0,0.0,1345
1783404574.626,0.75,0.0,0.0,0.0,0.0,0.0,0,0.0,1354
1783404574.726,0.85,0.0,0.0,0.0,0.0,0.0,0,0.0,1354
1783404574.831,0.96,0.0,0.0,0.0,0.0,0.0,0,0.0,1332
1783404574.932,1.06,0.0,0.0,0.0,0.0,0.0,0,0.0,1355
1783404575.032,1.16,0.0,0.0,0.0,0.0,0.0,0,0.0,1359
1783404575.133,1.26,0.0,0.0,0.0,0.0,0.0,0,0.0,1359
1783404575.235,1.36,0.0,0.0,0.0,0.0,0.0,0,0.0,1357
1783404575.34,1.47,0.0,0.0,0.0,0.0,0.0,0,0.0,1367
1783404575.442,1.57,0.0,0.0,0.0,0.0,0.0,0,0.0,1350
1783404575.544,1.67,0.0,0.0,0.0,0.0,0.0,0,0.0,1355
1783404575.644,1.77,0.0,0.0,0.0,0.0,0.0,0,0.0,1363
1783404575.745,1.87,0.0,0.0,0.0,0.0,0.0,0,0.0,1333
1783404575.846,1.97,0.0,0.0,0.0,0.0,0.0,0,0.0,1397
