timestamp_unix,elapsed_sec,x_m,y_m,heading_deg,vo_x_m,vo_y_m,speed,steering,cds_value
1783403007.742,0.01,0.0,0.0,0.0,0.0,0.0,0,0.0,1388
1783403007.846,0.12,0.0,0.0,0.0,0.0,0.0,0,0.0,1407
1783403007.95,0.22,0.0,0.0,0.0,0.0,0.0,0,0.0,1455
1783403008.05,0.32,0.0,0.0,0.0,0.0,0.0,0,0.0,1455
1783403008.152,0.42,0.0,0.0,0.0,0.0,0.0,0,0.0,1416
1783403008.253,0.52,0.0,0.0,0.0,0.0,0.0,0,0.0,1438
1783403008.356,0.63,0.0,0.0,0.0,0.0,0.0,0,0.0,1441
1783403008.461,0.73,0.0,0.0,0.0,0.0,0.0,0,0.0,1392
1783403008.564,0.83,0.0,0.0,0.0,0.0,0.0,0,0.0,1417
1783403008.669,0.94,0.0,0.0,0.0,0.0,0.0,0,0.0,1391
1783403008.771,1.04,0.0,0.0,0.0,0.0,0.0,0,0.0,1426
1783403009.083,1.35,0.0,0.0,0.0,0.0,0.0,0,0.0,1426
1783403009.185,1.45,0.0,0.0,0.0,0.0,0.0,0,0.0,1378
1783403009.289,1.56,0.0,0.0,0.0,0.0,0.0,0,0.0,1433
1783403009.393,1.66,0.0,0.0,0.0,0.0,0.0,0,0.0,1420
1783403009.493,1.76,0.0,0.0,0.0,0.0,0.0,0,0.0,1467
1783403009.594,1.86,0.0,0.0,0.0,0.0,0.0,0,0.0,1377
1783403009.696,1.97,0.0,0.0,0.0,0.0,0.0,0,0.0,1413
1783403009.796,2.07,0.0,0.0,0.0,0.0,0.0,0,0.0,1429
1783403009.898,2.17,0.0,0.0,0.0,0.0,0.0,0,0.0,1393
1783403009.998,2.27,0.0,0.0,0.0,0.0,0.0,0,0.0,1471
1783403010.099,2.37,0.0,0.0,0.0,0.0,0.0,0,0.0,1450
1783403010.199,2.47,0.0,0.0,0.0,0.0,0.0,0,0.0,1355
1783403010.3,2.57,0.0,0.0,0.0,0.0,0.0,0,0.0,1374
1783403010.4,2.67,0.0,0.0,0.0,0.0,0.0,0,0.0,1460
1783403010.5,2.77,0.0,0.0,0.0,0.0,0.0,0,0.0,1459
1783403010.6,2.87,0.0,0.0,0.0,0.0,0.0,0,0.0,1376
1783403010.701,2.97,0.0,0.0,0.0,0.0,0.0,0,0.0,1309
1783403010.801,3.07,0.0,0.0,0.0,0.0,0.0,0,0.0,1333
1783403010.901,3.17,0.0,0.0,0.0,0.0,0.0,0,0.0,1378
1783403011.001,3.27,0.0,0.0,0.0,0.0,0.0,0,0.0,1379
1783403011.102,3.37,0.0,0.0,0.0,0.0,0.0,0,0.0,1297
1783403011.202,3.47,0.0,0.0,0.0,0.0,0.0,0,0.0,1297
1783403011.302,3.57,0.0,0.0,0.0,0.0,0.0,0,0.0,1370
1783403011.403,3.67,0.0,0.0,0.0,0.0,0.0,0,0.0,1374
1783403011.503,3.77,0.0,0.0,0.0,0.0,0.0,0,0.0,1273
1783403011.603,3.87,0.0,0.0,0.0,0.0,0.0,0,0.0,1229
1783403011.704,3.97,0.0,0.0,0.0,0.0,0.0,0,0.0,1309
1783403011.804,4.07,0.0,0.0,0.0,0.0,0.0,0,0.0,1309
