timestamp_unix,elapsed_sec,x_m,y_m,heading_deg,speed,steering,cds_value
1783400746.91,9.45,0.0,0.0,0.0,0,0.0,1
1783400747.022,9.56,0.0,0.0,0.0,0,0.0,1
1783400747.129,9.67,0.0,0.0,0.0,0,0.0,1
1783400747.236,9.78,0.0,0.0,0.0,0,0.0,1
1783400747.342,9.88,0.0,0.0,0.0,0,0.0,1
1783400747.449,9.99,0.0,0.0,0.0,0,0.0,1
1783400747.556,10.1,0.0,0.0,0.0,0,0.0,1
1783400747.663,10.2,0.0,0.0,0.0,0,0.0,1
1783400747.77,10.31,0.0,0.0,0.0,0,0.0,1
1783400747.877,10.42,0.0,0.0,0.0,0,0.0,1
1783400747.983,10.53,0.0,0.0,0.0,0,0.0,1
1783400748.09,10.63,0.0,0.0,0.0,0,0.0,1
1783400748.197,10.74,0.0,0.0,0.0,0,0.0,1
1783400748.304,10.85,0.0,0.0,0.0,0,0.0,1
1783400748.411,10.95,0.0,0.0,0.0,0,0.0,1
1783400748.518,11.06,0.0,0.0,0.0,0,0.0,1
1783400748.625,11.17,0.0,0.0,0.0,0,0.0,1
1783400748.731,11.27,0.0,0.0,0.0,0,0.0,1
1783400748.838,11.38,0.0,0.0,0.0,0,0.0,1
1783400748.945,11.49,0.0,0.0,0.0,0,0.0,1
1783400749.052,11.59,0.0,0.0,0.0,0,0.0,1
1783400749.159,11.7,0.0,0.0,0.0,0,0.0,1
1783400749.265,11.81,0.0,0.0,0.0,0,0.0,1
1783400749.372,11.91,0.0,0.0,0.0,0,0.0,1
1783400749.479,12.02,0.0,0.0,0.0,0,0.0,1
1783400749.586,12.13,0.0,0.0,0.0,0,0.0,1
1783400749.693,12.24,0.0,0.0,0.0,0,0.0,1
1783400749.8,12.34,0.0,0.0,0.0,0,0.0,1
1783400749.907,12.45,0.0,0.0,0.0,0,0.0,1
1783400750.014,12.56,0.0,0.0,0.0,0,0.0,1
1783400750.12,12.66,0.0,0.0,0.0,0,0.0,1
1783400750.233,12.77,0.0,0.0,0.0,0,0.0,1
1783400750.34,12.88,0.0,0.0,0.0,0,0.0,1
1783400750.447,12.99,0.0,0.0,0.0,0,0.0,1
1783400750.554,13.1,0.0,0.0,0.0,0,0.0,1
1783400750.661,13.2,0.0,0.0,0.0,0,0.0,1
1783400750.769,13.31,0.0,0.0,0.0,0,0.0,1
1783400750.876,13.42,0.0,0.0,0.0,0,0.0,1
1783400750.983,13.52,0.0,0.0,0.0,0,0.0,1
1783400751.09,13.63,0.0,0.0,0.0,0,0.0,1
1783400751.196,13.74,0.0,0.0,0.0,0,0.0,1
1783400751.305,13.85,0.0,0.0,0.0,0,0.0,1
1783400751.413,13.95,0.0,0.0,0.0,0,0.0,1
1783400751.524,14.07,0.0,0.0,0.0,0,0.0,1
1783400751.63,14.17,0.0,0.0,0.0,0,0.0,1
1783400751.737,14.28,0.0,0.0,0.0,0,0.0,1
1783400751.844,14.39,0.0,0.0,0.0,0,0.0,1
1783400751.951,14.49,0.0,0.0,0.0,0,0.0,1
1783400752.057,14.6,0.0,0.0,0.0,0,0.0,1
1783400752.164,14.71,0.0,0.0,0.0,0,0.0,1
1783400752.271,14.81,0.0,0.0,0.0,0,0.0,1
1783400752.378,14.92,0.0,0.0,0.0,0,0.0,1
1783400752.485,15.03,0.0,0.0,0.0,0,0.0,1
1783400752.592,15.13,0.0,0.0,0.0,0,0.0,1
1783400752.698,15.24,0.0,0.0,0.0,0,0.0,1
1783400752.805,15.35,0.0,0.0,0.0,0,0.0,1
